Job Title,Company Name,Location,Publication Date,Categories,Experience Level,Job Link,Full/Part Time
Junior Embedded-Softwareentwickler (w/m/d) für Produkte der Niederspannungstechnik,Siemens,"Berlin, Germany",2023-04-13T23:42:41Z,Computer and IT,Entry Level,https://www.themuse.com/jobs/siemens/junior-embeddedsoftwareentwickler-wmd-fur-produkte-der-niederspannungstechnik-9ac30f,Full-time
JIRA/Confluence Application Manager (f/m/diverse) bei der evosoft GmbH,Siemens,"Munich, Germany",2022-12-23T23:34:14Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/siemens/jiraconfluence-application-manager-fmdiverse-bei-der-evosoft-gmbh-dd9a18,
Support Quality Analyst,Samsara Inc.,Flexible / Remote,2024-01-27T10:18:34Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/samsarainc/support-quality-analyst-a04815,
Werkstudent*in (w/m/d) Test und Dokumentation eines Software-Tools,Siemens,"Munich, Germany",2023-04-27T23:37:40Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/werkstudentin-wmd-test-und-dokumentation-eines-softwaretools,Part-time
Fachmonteur (w/m/d) elektromechanische Anlagen,Siemens,"Hannover, Germany",2023-03-10T23:45:26Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/fachmonteur-wmd-elektromechanische-anlagen-4e1e44,
"VP, Treasury Services",Circle,Flexible / Remote,2024-01-04T23:01:56Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/circle/vp-treasury-services-b3bffd,
IT Architect (w/m/d) Service & Integration,Siemens,"Berlin, Germany",2023-04-28T23:39:08Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/it-architect-wmd-service-integration-da7a21,Full-time
Senior Technical Program Manager,Celonis,"Munich, Germany",2024-01-25T23:07:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/celonis/senior-technical-program-manager-07e523,
MBA Business Management - Data & process mining,Siemens,"Munich, Germany",2023-05-18T00:06:23Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemens/mba-business-management-data-process-mining-1e9ef5,Full-time
Customer Delivery Architect - Germany,Cisco Meraki,"Frankfurt, Germany",2023-06-09T17:20:23Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/ciscomeraki/customer-delivery-architect-germany,
Embedded Softwareentwickler (w/m/d) Treiber und Firmware,Siemens,"Berlin, Germany",2023-05-19T23:38:55Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/siemens/embedded-softwareentwickler-wmd-treiber-und-firmware,
"Senior Data Analyst, Financial Reporting",Circle,Flexible / Remote,2024-01-03T23:02:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/circle/senior-data-analyst-financial-reporting-1e6126,
