Job Title,Company Name,Location,Publication Date,Categories,Experience Level,Job Link,Full/Part Time
Insights Solutions Partner II,Pinterest,"Flexible / Remote, San Francisco, CA",2024-02-03T10:09:12Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/pinterest/insights-solutions-partner-ii,
Principal Technical Program Manager - Analytics Platform,Atlassian,"Auckland, New Zealand, Brisbane, Australia, Flexible / Remote, Sydney, Australia",2024-01-30T23:53:50Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/atlassian/principal-technical-program-manager-analytics-platform,
"Product Manager, AI and Automation",World Wide Technology,Flexible / Remote,2024-01-26T23:22:14Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/worldwidetechnology/product-manager-ai-and-automation,
Senior Database Administrator,Eze Castle Integration,"Bangalore, India, Flexible / Remote, Hyderabad, India, Indore, India",2024-01-18T12:12:08Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/ezecastleintegration/senior-database-administrator-dee7af,
Sr Technical Data Architect,Grainger,"Chicago, IL, Flexible / Remote",2024-01-31T23:02:56Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/grainger/sr-technical-data-architect,
"Manager II, Engineering - Big Data Query Platform",Pinterest,"Flexible / Remote, San Francisco, CA",2024-01-24T10:09:08Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/pinterest/manager-ii-engineering-big-data-query-platform,
Project Support Coordinator,Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:38:50Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/thermofisherscientific/project-support-coordinator-9c8d06,
Risk Data Science Manager,Trustly,"Flexible / Remote, Vitoria, Brazil",2023-12-29T10:28:40Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/trustly/risk-data-science-manager,
IP Counsel (m/w/d) - REF27696B,Continental,"Munich, Germany",2024-01-18T10:29:39Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/continental/ip-counsel-mwd-ref27696b,
Consultants,TransUnion,Flexible / Remote,2023-08-18T12:16:36Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/transunion/consultants-91de88,
Cloud Security Consultant Azure (m/f/d) - REF28743Q,Continental,"Frankfurt, Germany",2023-12-02T10:17:12Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/continental/cloud-security-consultant-azure-mfd-ref28743q,
"Sr Manager, Data Sciences",Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:33Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/thermofisherscientific/sr-manager-data-sciences-183ec0,
Manager Data Science,Publicis Sapient,"Munich, Germany",2024-01-08T23:36:10Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/publicissapient/manager-data-science-d225ac,
Project Support Coord II,Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:31Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/thermofisherscientific/project-support-coord-ii-83a445,
AI Research Scientist,Autodesk,"Flexible / Remote, Munich, Germany",2024-02-02T11:42:34Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/autodesk/ai-research-scientist-130b47,
"Backend Engineer, AI Powered: Duo Chat (EMEA)",GitLab,Flexible / Remote,2023-11-28T23:08:29Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/gitlab/backend-engineer-ai-powered-duo-chat-emea,
"Senior Machine Learning Engineer - Identity, ML Platform",Cash App,"Flexible / Remote, Toronto, Canada",2023-12-22T00:06:37Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/cashapp/senior-machine-learning-engineer-identity-ml-platform-8e86d3,
Market Partnerships Associate - TN,Oscar Health,"Flexible / Remote, New York, NY",2024-01-12T23:06:03Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/oscarhealth/market-partnerships-associate-tn,
Sales Operations Analyst - Fusion 360,Autodesk,"Barcelona, Spain, Flexible / Remote",2024-01-05T11:45:15Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/autodesk/sales-operations-analyst-fusion-360-4f050b,
"Director, Clinical Innovation",Maven Clinic,Flexible / Remote,2023-11-28T10:03:11Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/mavenclinic/director-clinical-innovation,
Internal Controls Analyst (Business and IT),Coinbase,Flexible / Remote,2024-01-09T23:07:47Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/coinbase/internal-controls-analyst-business-and-it-14d120,
"Director, Performance Reporting, Business Analytics & Insights",Pfizer,"Flexible / Remote, New York, NY",2024-02-10T10:42:37Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/pfizer/director-performance-reporting-business-analytics-insights,
Sr. Product Manager - AI Products - VIRTUAL!,Alight Solutions LLC,"Flexible / Remote, Peoria, IL",2024-02-03T23:25:32Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/alightsolutionsllc/sr-product-manager-ai-products-virtual,
Transparency Compliance Analyst,Henry Schein,Flexible / Remote,2024-02-10T23:09:12Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/henryschein/transparency-compliance-analyst,
Principal Technology Architect - Hybrid Digital workplace (m/f/d),Infosys,"Frankfurt, Germany",2024-01-03T23:25:46Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/infosys/principal-technology-architect-hybrid-digital-workplace-mfd,
Influencer Operations Manager - TikTok LIVE - Berlin (German and Russian Speaking),TikTok,"Berlin, Germany",2024-02-09T00:25:19Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/tiktok/influencer-operations-manager-tiktok-live-berlin-german-and-russian-speaking,
"Sr Manager,  Technical Solution Leader (f/m/d)",Intel,"Calne, United Kingdom, Munich, Germany",2024-01-03T00:33:09Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/intel/sr-manager-technical-solution-leader-fmd,
Nurse Case Manager - 12 months contract,Cencora,Flexible / Remote,2024-01-19T23:31:37Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/cencora/nurse-case-manager-12-months-contract,
SWIFT Implementation Specialist (Hybrid - Flexible option),Broadridge,"Frankfurt, Germany",2023-10-10T10:49:05Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/broadridge/swift-implementation-specialist-hybrid-flexible-option,
Product Support Specialist with French,Cornerstone OnDemand,"Flexible / Remote, Krakow, Poland",2024-02-06T11:48:24Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/cornerstoneondemand/product-support-specialist-with-french,
"Manager / Sr. Manager, Performance & Paid Marketing",Wealthfront,Flexible / Remote,2024-02-09T10:07:59Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/wealthfront/manager-sr-manager-performance-paid-marketing,
Market Partnerships Associate - GA,Oscar Health,"Flexible / Remote, New York, NY",2024-01-12T23:06:03Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/oscarhealth/market-partnerships-associate-ga,
Java Data Engineer - Colombia,Sonatype,Flexible / Remote,2024-01-11T23:05:30Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/sonatype/java-data-engineer-colombia,
Major Accounts Executive - North Central,Abnormal Security,Flexible / Remote,2024-02-05T23:08:46Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/abnormalsecurity/major-accounts-executive-north-central,
"Oncology Registered Nurse, Complex Case Manager",Accolade,Flexible / Remote,2024-02-03T10:03:16Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/accolade/oncology-registered-nurse-complex-case-manager,
Sr. Sales Commission Data Analyst (Remote),CrowdStrike,Flexible / Remote,2024-01-20T00:21:03Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-sales-commission-data-analyst-remote,
Data Analyst (Remote),CrowdStrike,Flexible / Remote,2024-02-08T00:03:58Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/crowdstrike/data-analyst-remote-e498e1,
Quality Supplier Auditor - Remote (Italy/Austria/Germany/Netherlands),Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:31Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/thermofisherscientific/quality-supplier-auditor-remote-italyaustriagermanynetherlands-abc936,
Sr. Next-Gen SIEM Technical Strategy Manager (Remote),CrowdStrike,Flexible / Remote,2024-01-20T00:21:03Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-nextgen-siem-technical-strategy-manager-remote,
"Sr. Data Engineer (Remote, IND)",CrowdStrike,"Flexible / Remote, Pune, India",2024-02-09T00:00:21Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-data-engineer-remote-ind-e53a04,
Senior Applied Data Scientist,Cash App,"Flexible / Remote, San Francisco, CA",2023-12-19T11:22:21Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/cashapp/senior-applied-data-scientist,
Staff Machine Learning Engineer,Zendesk,Flexible / Remote,2024-02-01T23:09:25Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/zendesk/staff-machine-learning-engineer-2be891,
Executive Assistant,Intradiem,Flexible / Remote,2024-01-10T23:01:46Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/intradiem/executive-assistant,
Senior Financial Analytics Professional,Humana,Flexible / Remote,2024-02-02T12:45:29Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/humana/senior-financial-analytics-professional-7e7d04,
"Sr. Data Scientist - AI Assistant (Remote, ROU)",CrowdStrike,Flexible / Remote,2024-01-10T00:25:19Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-data-scientist-ai-assistant-remote-rou-da4114,
"Director II, Data Science Fundamentals & Responsible AI",Liberty Mutual Insurance,"Boston, MA, Flexible / Remote, Seattle, WA",2024-01-13T01:24:24Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/libertymutualinsurance/director-ii-data-science-fundamentals-responsible-ai,
Technical Solutions Architect II - Security Lab Services,World Wide Technology,Flexible / Remote,2024-02-08T23:12:13Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/worldwidetechnology/technical-solutions-architect-ii-security-lab-services-50fc96,
Sales Engineer,Simon Data,"Flexible / Remote, New York, NY",2024-01-04T23:01:34Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/simondata/sales-engineer,
Information Security Threat Intelligence Analyst,Patagonia,Flexible / Remote,2022-01-28T11:10:18Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/patagonia/information-security-threat-intelligence-analyst-c91d57,
xPression Developer,Leidos,Flexible / Remote,2024-02-06T23:17:20Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/leidos/xpression-developer,
"Principal Consultant, Red Team (Remote)",CrowdStrike,Flexible / Remote,2024-02-10T23:55:47Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/crowdstrike/principal-consultant-red-team-remote-503ee1,
"Sr. Software Engineer, Query Platform (Remote)",CrowdStrike,Flexible / Remote,2024-01-04T00:18:00Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-software-engineer-query-platform-remote,
Senior Manager Data Strategy - German speaking,Publicis Sapient,"Frankfurt, Germany",2024-01-18T23:45:30Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/publicissapient/senior-manager-data-strategy-german-speaking-a1bd21,
Cluster Lead - Backup & Recovery (all genders),Wipro,"Berlin, Germany",2024-02-01T23:12:23Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/wipro/cluster-lead-backup-recovery-all-genders,
Principal Data & Analytics Consultant - Machine Learning/Artificial Intelligence (ML/AI) (m/f/d),EPAM Systems,"Stuttgart, Germany",2024-02-07T12:34:03Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/epamsystems/principal-data-analytics-consultant-machine-learningartificial-intelligence-mlai-mfd-fe8a31,
Clinical Data Manager-Population Health,Humana,Flexible / Remote,2024-02-02T12:45:29Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/humana/clinical-data-managerpopulation-health,
Principal Data Analyst Software Engineer (Celonis),Waters,"Bellingham, MA, Frankfurt, Germany",2024-02-11T23:10:00Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/waters/principal-data-analyst-software-engineer-celonis,
"Threat Analyst II, Machine Learning Operations and Response (Remote, ROU)",CrowdStrike,Flexible / Remote,2023-12-22T00:19:51Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/crowdstrike/threat-analyst-ii-machine-learning-operations-and-response-remote-rou,
Scheduling Platform Administrator,Galileo Health,Flexible / Remote,2024-02-09T10:26:36Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/galileohealth/scheduling-platform-administrator,
Manager Data Science,Publicis Sapient,"Cologne, Germany",2024-01-08T23:36:10Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/publicissapient/manager-data-science-5556c5,
"Adversarial Emulation Manager (Remote, ROU)",CrowdStrike,Flexible / Remote,2024-01-18T00:30:43Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/crowdstrike/adversarial-emulation-manager-remote-rou,
Kundenberater*in / Verkaufsberater*in (m/w/d) in der Autovermietung,Avis,"Frankfurt, Germany",2023-12-07T10:41:25Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/avis/kundenberaterin-verkaufsberaterin-mwd-in-der-autovermietung-27714b,
Data Solutions Lead,Instacart,Flexible / Remote,2024-01-30T02:17:11Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/instacart/data-solutions-lead,
"Principal Product Manager, Search Relevance and Quality - Central AI",Atlassian,"Flexible / Remote, San Francisco, CA",2024-01-11T00:17:54Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/atlassian/principal-product-manager-search-relevance-and-quality-central-ai-cb07bd,
AI Sales Specialist,Zendesk,Flexible / Remote,2024-01-27T23:18:50Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/zendesk/ai-sales-specialist-872d86,
"Senior Machine Learning Modeler, Financial Crimes (Cash App)",Square,Flexible / Remote,2022-01-14T11:33:48Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/square/senior-machine-learning-modeler-financial-crimes-cash-app-b8d2ba,
"Sr. Business Manager, Measurement & Testing - Capital One Shopping (Remote-Eligible)",Capital One,"Flexible / Remote, McLean, VA",2024-02-01T11:45:37Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/capitalone/sr-business-manager-measurement-testing-capital-one-shopping-remoteeligible,
Product Support Specialist - Fixed Term,Cornerstone OnDemand,Flexible / Remote,2023-10-31T11:48:52Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/cornerstoneondemand/product-support-specialist-fixed-term,
Senior FinOps Analyst,Atlassian,"Flexible / Remote, Sydney, Australia",2024-01-18T00:22:22Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/atlassian/senior-finops-analyst-348c06,
Managed Services - Salesforce Lead - Sr. Associate,PwC,"Flexible / Remote, Tampa, FL",2024-01-04T12:35:05Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/pwc/managed-services-salesforce-lead-sr-associate,
"VP, Centralized Monitoring (EMEA)",Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:38:49Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/thermofisherscientific/vp-centralized-monitoring-emea-af9e75,
"Sr. Analyst, Loyalty Reporting and Insights",General Motors,"Austin, TX, Flexible / Remote, Roswell, GA, Warren, MI",2024-02-01T00:19:30Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/generalmotors/sr-analyst-loyalty-reporting-and-insights,
"Director, Machine Learning",hims & hers,Flexible / Remote,2023-12-11T23:02:38Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/himshers/director-machine-learning,
University Grad Data Science (Masters Only),Pinterest,Flexible / Remote,2024-01-30T10:20:40Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/pinterest/university-grad-data-science-masters-only,
"AI Technical Program Manager, Productivity Services",Autodesk,"Flexible / Remote, Mexico City, Mexico",2023-12-19T15:03:23Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/autodesk/ai-technical-program-manager-productivity-services,
Project Leaders - Risk & Compliance,Boston Consulting Group (BCG),"Frankfurt, Germany",2024-02-11T23:04:42Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/bostonconsultinggroupbcg/project-leaders-risk-compliance-e2d463,
Clinical Informatics Director,Labcorp,Flexible / Remote,2024-01-27T12:38:03Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/labcorp/clinical-informatics-director-c774cf,
Senior Computer Scientist C++ AI/ML Engineering,Adobe,"Hamburg, Germany",2024-01-18T10:44:36Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/adobe/senior-computer-scientist-c-aiml-engineering-9da127,
"Senior Software Engineer, Machine Learning",Coinbase,Flexible / Remote,2024-02-07T23:09:18Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/coinbase/senior-software-engineer-machine-learning,
Senior Staff Machine Learning Engineer,Zendesk,Flexible / Remote,2024-02-06T23:09:06Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/zendesk/senior-staff-machine-learning-engineer,
Stars Program Delivery Lead,Humana,Flexible / Remote,2024-02-09T12:43:24Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/humana/stars-program-delivery-lead-a46881,
Sr. Consultant Solution & Design (Remote),The Hartford,"Flexible / Remote, Hartford, CT",2024-01-09T10:33:36Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/thehartford/sr-consultant-solution-design-remote,
Commodity Buyer (m/f/d),GE Vernova,"Berlin, Germany",2024-02-09T23:07:13Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/gevernova/commodity-buyer-mfd,
Consultant IT Architecture (m/f/d) - BCG Platinion,Boston Consulting Group (BCG),"Stuttgart, Germany",2024-02-11T23:04:41Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/bostonconsultinggroupbcg/consultant-it-architecture-mfd-bcg-platinion-ac9364,
Data entry for AI development ($20+/hr) - Remote,Data Annotation,Flexible / Remote,2024-01-08T19:14:42Z,Data and Analytics,"Entry Level, Internship, Mid Level, Senior Level, management",https://www.themuse.com/jobs/dataannotation/data-entry-for-ai-development-20hr-remote,
Penetration Tester & Vulnerability Analyst (m/f/d) - REF41994V,Continental,"Hannover, Germany",2024-02-02T10:42:18Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/continental/penetration-tester-vulnerability-analyst-mfd-ref41994v,
Accounts Receivable Analyst ,GitLab,Flexible / Remote,2024-01-30T23:08:14Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/gitlab/accounts-receivable-analyst-b4ad7a,
"Sr. Incident Responder, CSIRT",Salesforce,Flexible / Remote,2024-02-02T20:00:14Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/salesforce/sr-incident-responder-csirt,
Caseworker,Cencora,Flexible / Remote,2024-02-02T23:18:34Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/cencora/caseworker-d7cbcc,
Business Travel Consultant - Remote,Navan,Flexible / Remote,2024-01-24T23:08:56Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/navan/business-travel-consultant-remote,
Senior Manager Data Strategy - German speaking,Publicis Sapient,"Dusseldorf, Germany",2024-01-18T23:45:30Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/publicissapient/senior-manager-data-strategy-german-speaking,
Ratings Associate - Insurance (Fluent German Required),Moody's,"Frankfurt, Germany",2024-01-17T23:24:04Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/moodys/ratings-associate-insurance-fluent-german-required,
Assistant CRA - Site Support Solutions,Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:30Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/thermofisherscientific/assistant-cra-site-support-solutions-cf90f2,
Technical Support Manager,Atlassian,"Flexible / Remote, San Francisco, CA",2024-02-01T00:04:36Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/atlassian/technical-support-manager-4f18cc,
Nurse Case Manager,Cencora,Flexible / Remote,2024-02-01T23:19:06Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/cencora/nurse-case-manager-130489,
Oncology Client Services Lead,Q-Centrix,Flexible / Remote,2024-02-07T23:03:24Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/qcentrix/oncology-client-services-lead,
Sr Data Engineer,Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:31Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/thermofisherscientific/sr-data-engineer-c279a4,
Internal Controls Analyst (Business and IT),Coinbase,Flexible / Remote,2023-12-11T23:08:05Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/coinbase/internal-controls-analyst-business-and-it,
Teamcenter Lead_Germany,Infosys,"Frankfurt, Germany",2024-01-16T23:23:47Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/infosys/teamcenter-leadgermany,
Project Support Coordinator,Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:30Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/thermofisherscientific/project-support-coordinator-7fa821,
Associate Data Manager - Labs,Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:33Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/thermofisherscientific/associate-data-manager-labs-8affab,
"Senior Manager, Data Science",Zendesk,Flexible / Remote,2024-01-31T23:09:49Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/zendesk/senior-manager-data-science,
"Sr Analyst, Product Analysis, Business Lines Package & Specialty Delivery Monitoring",Liberty Mutual Insurance,"Boston, MA, Flexible / Remote, Seattle, WA",2024-02-02T00:20:35Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/libertymutualinsurance/sr-analyst-product-analysis-business-lines-package-specialty-delivery-monitoring-279740,
Sr. Business Resilience Specialist (Remote),CrowdStrike,Flexible / Remote,2024-02-01T00:09:23Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-business-resilience-specialist-remote,
"Director, Enterprise Machine Learning",Zendesk,Flexible / Remote,2024-01-25T23:18:25Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/zendesk/director-enterprise-machine-learning-2c0e72,
Project Leaders - Risk & Compliance,Boston Consulting Group (BCG),"Stuttgart, Germany",2024-02-11T23:04:42Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/bostonconsultinggroupbcg/project-leaders-risk-compliance-f6938b,
Certified Tumor Registrar CTR,Atos,"Flexible / Remote, Irving, TX",2023-09-27T01:05:46Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/atos/certified-tumor-registrar-ctr-ee0bf9,
"Sr. Intrusion Analyst, eCrime (Remote, AUS)",CrowdStrike,Flexible / Remote,2024-01-25T00:28:36Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-intrusion-analyst-ecrime-remote-aus,
Master Thesis Navigated Computer Assisted Surgery - ab März/ April 2024 für 6 Monate,Stryker,"Berlin, Germany",2024-02-06T13:02:57Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/stryker/master-thesis-navigated-computer-assisted-surgery-ab-marz-april-2024-fur-6-monate,
"Sustainability Program Leader, CRG (EMEA)",Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:31Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/thermofisherscientific/sustainability-program-leader-crg-emea-9b7c58,
"Sr. Software Engineer - Charlotte AI Engineering Team (Remote, ROU)",CrowdStrike,"Bucharest, Romania, Flexible / Remote",2024-02-10T23:55:47Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-software-engineer-charlotte-ai-engineering-team-remote-rou-5e7cec,
IT Architect (m/f/d) - BCG Platinion,Boston Consulting Group (BCG),"Cologne, Germany",2024-02-11T23:04:42Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/bostonconsultinggroupbcg/it-architect-mfd-bcg-platinion-601223,
"Sr. Consultant, Analytic Solution Advisor",Nationwide Insurance,Flexible / Remote,2022-01-11T23:11:48Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/nationwideinsurance/sr-consultant-analytic-solution-advisor,
"Managing Partner, Solution Sales Group - Medidata AI",Medidata Solutions,"Brentford, United Kingdom, Flexible / Remote",2024-01-09T10:33:12Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/medidatasolutions/managing-partner-solution-sales-group-medidata-ai,
AI Sales Specialist,Zendesk,Flexible / Remote,2024-01-30T23:08:47Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/zendesk/ai-sales-specialist-4f1049,
General Manager (m/w/d),Via,"Berlin, Germany, Frankfurt, Germany, Griesheim, Germany",2023-12-05T10:03:48Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/via/general-manager-mwd-2bace2,
Merchant Services Payment Advisor Small Business Banking,PNC,Flexible / Remote,2024-02-07T23:12:10Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/pnc/merchant-services-payment-advisor-small-business-banking,
"Advisory Services, Implementation Consultant (Remote)",Medidata Solutions,"Flexible / Remote, New York, NY",2023-12-17T10:31:01Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/medidatasolutions/advisory-services-implementation-consultant-remote,
"Lead Data Scientist, Insurance Industry - BCG X",Boston Consulting Group (BCG),"Frankfurt, Germany",2024-02-11T23:04:41Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/bostonconsultinggroupbcg/lead-data-scientist-insurance-industry-bcg-x-69811e,
"Sr. Architect, Falcon Complete LogScale (Remote)",CrowdStrike,Flexible / Remote,2024-02-10T23:55:47Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/crowdstrike/sr-architect-falcon-complete-logscale-remote-4154ba,
Azure DevOps,Atos,"Flexible / Remote, Warsaw, Poland",2023-09-27T01:05:46Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/atos/azure-devops-faa300,
EDI Technical Specialist,Labcorp,Flexible / Remote,2024-02-10T12:34:22Z,Computer and IT,Mid Level,https://www.themuse.com/jobs/labcorp/edi-technical-specialist-f234e1,
"Sr Consultant, Business Insights (CL Claims Controller)",Nationwide Insurance,Flexible / Remote,2021-11-25T23:04:06Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/nationwideinsurance/sr-consultant-business-insights-cl-claims-controller,
Infirmière/infirmier gestionnaire de cas principale / Senior Nurse Case Manager,Cencora,Flexible / Remote,2024-02-07T23:18:47Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/cencora/infirmiereinfirmier-gestionnaire-de-cas-principale-senior-nurse-case-manager,
Senior Security Consultant - Palo Alto Networks Strata,World Wide Technology,Flexible / Remote,2023-12-14T23:42:08Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/worldwidetechnology/senior-security-consultant-palo-alto-networks-strata,
EMEA PLM Implementation Consultant (Remote),Siemens Digital Industries Software,"Flexible / Remote, Opole, Poland",2024-02-08T10:52:45Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/siemensdigitalindustriessoftware/emea-plm-implementation-consultant-remote-c2ba9a,
"Sr Business Analyst, Capital One Shopping (Remote-Eligible)",Capital One,"Flexible / Remote, McLean, VA",2024-02-02T11:48:36Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/capitalone/sr-business-analyst-capital-one-shopping-remoteeligible,
Project Support Coord,Thermo Fisher Scientific,Flexible / Remote,2024-02-10T23:37:32Z,Data and Analytics,Mid Level,https://www.themuse.com/jobs/thermofisherscientific/project-support-coord-30b41e,
Senior Security Manager - Incident Response,Atlassian,"Flexible / Remote, Gdańsk, Poland",2024-01-27T00:14:25Z,Computer and IT,Senior Level,https://www.themuse.com/jobs/atlassian/senior-security-manager-incident-response,
Regional General Manager,Lime,Flexible / Remote,2023-08-11T23:01:31Z,Data and Analytics,Senior Level,https://www.themuse.com/jobs/lime/regional-general-manager,
